,prompt,completion
0,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

EU | rejects | German | call | to | boycott | British | lamb | .

###

", B-ORG | O | B-MISC | O | O | O | B-MISC | O | O***END***
1,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Peter | Blackburn

###

", B-PER | I-PER***END***
2,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

BRUSSELS | 1996-08-22

###

", B-LOC | O***END***
3,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | European | Commission | said | on | Thursday | it | disagreed | with | German | advice | to | consumers | to | shun | British | lamb | until | scientists | determine | whether | mad | cow | disease | can | be | transmitted | to | sheep | .

###

", O | B-ORG | I-ORG | O | O | O | O | O | O | B-MISC | O | O | O | O | O | B-MISC | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
4,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Germany | 's | representative | to | the | European | Union | 's | veterinary | committee | Werner | Zwingmann | said | on | Wednesday | consumers | should | buy | sheepmeat | from | countries | other | than | Britain | until | the | scientific | advice | was | clearer | .

###

", B-LOC | O | O | O | O | B-ORG | I-ORG | O | O | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | O | O | B-LOC | O | O | O | O | O | O | O***END***
5,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

"" | We | do | n't | support | any | such | recommendation | because | we | do | n't | see | any | grounds | for | it | , | "" | the | Commission | 's | chief | spokesman | Nikolaus | van | der | Pas | told | a | news | briefing | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-ORG | O | O | O | B-PER | I-PER | I-PER | I-PER | O | O | O | O | O***END***
6,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

He | said | further | scientific | study | was | required | and | if | it | was | found | that | action | was | needed | it | should | be | taken | by | the | European | Union | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-ORG | I-ORG | O***END***
7,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

He | said | a | proposal | last | month | by | EU | Farm | Commissioner | Franz | Fischler | to | ban | sheep | brains | , | spleens | and | spinal | cords | from | the | human | and | animal | food | chains | was | a | highly | specific | and | precautionary | move | to | protect | human | health | .

###

", O | O | O | O | O | O | O | B-ORG | O | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
8,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Fischler | proposed | EU-wide | measures | after | reports | from | Britain | and | France | that | under | laboratory | conditions | sheep | could | contract | Bovine | Spongiform | Encephalopathy | ( | BSE | ) | -- | mad | cow | disease | .

###

", B-PER | O | B-MISC | O | O | O | O | B-LOC | O | B-LOC | O | O | O | O | O | O | O | B-MISC | I-MISC | I-MISC | O | B-MISC | O | O | O | O | O | O***END***
9,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

But | Fischler | agreed | to | review | his | proposal | after | the | EU | 's | standing | veterinary | committee | , | mational | animal | health | officials | , | questioned | if | such | action | was | justified | as | there | was | only | a | slight | risk | to | human | health | .

###

", O | B-PER | O | O | O | O | O | O | O | B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
