,prompt,completion
0,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

NEW YORK 1996-08-26

###

"," NEW YORK: Location
1996-08-26: O

***END***"
1,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Russian grade A0 nominal 2.00-2.25 cents / pound

###

"," Russian: Misc
grade: O
A0: O
nominal: O
2.00-2.25: O
cents: O
/: O
pound: O

***END***"
2,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

1. Mariacarla Bresciani ( Italy ) 3.85 metres

###

"," 1.: O
Mariacarla Bresciani: Person
(: O
Italy: Location
): O
3.85: O
metres: O

***END***"
3,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

division soccer match on Saturday :

###

"," division: O
soccer: O
match: O
on: O
Saturday: O
:: O

***END***"
4,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Penrose had been working for the charity which provides food to civilians for only a few weeks before he was captured .

###

"," Penrose: Person
had: O
been: O
working: O
for: O
the: O
charity: O
which: O
provides: O
food: O
to: O
civilians: O
for: O
only: O
a: O
few: O
weeks: O
before: O
he: O
was: O
captured: O
.: O

***END***"
5,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

( N. Speak 65 not out , N. Fairbrother 55 ) .

###

"," (: O
N. Speak: Person
65: O
not: O
out: O
,: O
N. Fairbrother: Person
55: O
): O
.: O

***END***"
6,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

9. Lance Armstrong ( U.S. ) Motorola 9

###

"," 9.: O
Lance Armstrong: Person
(: O
U.S.: Location
): O
Motorola: Organisation
9: O

***END***"
7,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Following are highlights of the midday briefing by the European Commission on Wednesday :

###

"," Following: O
are: O
highlights: O
of: O
the: O
midday: O
briefing: O
by: O
the: O
European Commission: Organisation
on: O
Wednesday: O
:: O

***END***"
8,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Penrith 21 6 1 14 339 448 13

###

"," Penrith: Organisation
21: O
6: O
1: O
14: O
339: O
448: O
13: O

***END***"
9,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

-- Conservative opposition New Democracy promises series of measures on the economy 30 days after the elections aiming at 4.0 percent GDP growth rate annually -- George Georgiopoulos , Athens Newsroom +301 3311812-4

###

"," --: O
Conservative: O
opposition: O
New Democracy: Organisation
promises: O
series: O
of: O
measures: O
on: O
the: O
economy: O
30: O
days: O
after: O
the: O
elections: O
aiming: O
at: O
4.0: O
percent: O
GDP: O
growth: O
rate: O
annually: O
--: O
George Georgiopoulos: Person
,: O
Athens Newsroom: Organisation
+301: O
3311812-4: O

***END***"
10,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

U.S. Senate Intelligence Committee chairman Arlen Specter , who has questioned whether Defence Secretary William Perry should resign over the latest bombing in Saudi Arabia , met Saudi officials on Monday during a brief visit to the kingdom .

###

"," U.S. Senate Intelligence Committee: Organisation
chairman: O
Arlen Specter: Person
,: O
who: O
has: O
questioned: O
whether: O
Defence: Organisation
Secretary: O
William Perry: Person
should: O
resign: O
over: O
the: O
latest: O
bombing: O
in: O
Saudi Arabia: Location
,: O
met: O
Saudi: Misc
officials: O
on: O
Monday: O
during: O
a: O
brief: O
visit: O
to: O
the: O
kingdom: O
.: O

***END***"
11,"Label entities as Organisation, Person, Location, O, Misc in the following sentence:

Sri Lankan officials said they expected heavy rain which washed out a warmup match on Friday should cease by Saturday .

###

"," Sri Lankan: Misc
officials: O
said: O
they: O
expected: O
heavy: O
rain: O
which: O
washed: O
out: O
a: O
warmup: O
match: O
on: O
Friday: O
should: O
cease: O
by: O
Saturday: O
.: O

***END***"
