completion,prompt
" You: None
’: None
ll: None
need: None
to: None
restore: None
your: None
company: Organization
to: None
claim: None
back: None
money: None
after: None
it: None
’: None
s: None
been: None
removed: None
from: None
the: None
register: None
.: None

###","You ’ ll need to restore your company to claim back money after it ’ s been removed from the register .

###

"
" An: None
accounting: None
period: None
is: None
3: Date
months: Date
unless: None
you: None
’: None
ve: None
arranged: None
with: None
HM: Organization
Revenue: Organization
and: Organization
Customs: Organization
(: None
HMRC: Organization
): None
to: None
use: None
a: None
different: None
accounting: None
period: None
.: None

###","An accounting period is 3 months unless you ’ ve arranged with HM Revenue and Customs ( HMRC ) to use a different accounting period .

###

"
" Your: None
search: Event
may: None
return: None
no: None
results: None
if: None
HM: Organization
Land: Organization
Registry: Organization
doesn: None
’: None
t: None
hold: None
a: None
copy: None
of: None
the: None
deeds: Form
.: None

###","Your search may return no results if HM Land Registry doesn ’ t hold a copy of the deeds .

###

"
" Your: None
supplier: Organization
may: None
give: None
you: None
a: None
form: Form
for: None
this: None
.: None

###","Your supplier may give you a form for this .

###

"
" You: None
can: None
apply: None
for: None
HM: Organization
Revenue: Organization
and: Organization
Customs: Organization
(: None
HMRC: None
): None
to: None
pay: None
you: None
in: None
advance: None
if: None
you: None
cannot: None
afford: None
to: None
make: None
statutory: None
payments: None
.: None

###","You can apply for HM Revenue and Customs ( HMRC ) to pay you in advance if you cannot afford to make statutory payments .

###

"
" You: None
’: None
ll: None
get: None
5: None
.: None
24p: None
per: None
unit: Organization
of: None
electricity: None
.: None

###","You ’ ll get 5 . 24p per unit of electricity .

###

"
" If: None
your: None
reasons: None
for: None
your: None
child: Person
to: None
be: None
admitted: None
outweigh: None
the: None
school: Organization
’: None
s: None
reasons: None
for: None
not: None
admitting: None
any: None
more: None
children: Person
at: None
all: None
your: None
appeal: None
will: None
be: None
upheld: None
.: None

###","If your reasons for your child to be admitted outweigh the school ’ s reasons for not admitting any more children at all your appeal will be upheld .

###

"
" You: None
can: None
only: None
apply: None
on: None
the: None
basis: None
of: None
your: None
private: None
life: None
if: None
you: None
’: None
re: None
already: None
living: None
in: None
the: None
UK: Location
.: None

###","You can only apply on the basis of your private life if you ’ re already living in the UK .

###

"
" However: None
it: None
’: None
s: None
possible: None
for: None
the: None
landlord: Person
to: None
claim: None
funds: None
under: None
one: None
land: None
scheme: None
and: None
their: None
tenant: Person
to: None
claim: None
under: None
another: None
.: None

###","However it ’ s possible for the landlord to claim funds under one land scheme and their tenant to claim under another .

###

"
" Read: None
the: None
full: None
list: None
of: None
supporting: Contact
documents: Contact
you: None
can: None
provide: None
.: None

###","Read the full list of supporting documents you can provide .

###

"
" The: None
worker: Person
can: None
take: None
someone: Person
with: None
them: None
and: None
make: None
copies: None
of: None
the: None
records: None
.: None

###","The worker can take someone with them and make copies of the records .

###

"
" You: None
can: None
only: None
pay: Event
by: None
credit: Finance
card: Finance
if: None
it: None
’: None
s: None
linked: None
to: None
a: None
business: None
bank: Misc
account: Misc
.: None

###","You can only pay by credit card if it ’ s linked to a business bank account .

###

"
" Write: None
to: None
HMRC: Organization
with: None
your: None
bank: Form
details: Form
if: None
you: None
cannot: None
include: None
them: None
with: None
your: None
EPS: None
.: None

###","Write to HMRC with your bank details if you cannot include them with your EPS .

###

"
" Apply: None
now: None
If: None
you: None
cannot: State
apply: State
online: State
call: Contact
Jobcentre: Contact
Plus: Contact
.: None

###","Apply now If you cannot apply online call Jobcentre Plus .

###

"
" You: None
can: None
set: None
up: None
a: None
Direct: Finance
Debit: Finance
for: None
regular: None
payments: None
using: None
form: None
VAT: None
623: None
.: None

###","You can set up a Direct Debit for regular payments using form VAT 623 .

###

"
" Your: None
sponsor: Person
must: None
confirm: None
this: None
on: None
the: None
certificate: Form
of: Form
sponsorship: Form
.: None

###","Your sponsor must confirm this on the certificate of sponsorship .

###

"
" You: None
may: None
also: None
need: None
a: None
visa: Misc
depending: None
on: None
which: None
country: Location
you: None
’: None
re: None
from: None
.: None

###","You may also need a visa depending on which country you ’ re from .

###

"
" You: None
’: None
ll: None
automatically: None
have: None
the: None
right: None
to: None
go: None
to: None
an: None
employment: Event
tribunal: Event
.: None

###","You ’ ll automatically have the right to go to an employment tribunal .

###

"
" This: None
means: None
the: None
business: None
doesn: None
’: None
t: None
need: None
people: None
with: None
a: None
certain: None
specialist: None
skill: None
and: None
therefore: None
makes: None
an: None
employee: Person
redundant: State
.: None

###","This means the business doesn ’ t need people with a certain specialist skill and therefore makes an employee redundant .

###

"
" You: None
must: None
meet: None
safety: Misc
and: Misc
energy: Misc
efficiency: Misc
standards: Misc
even: None
if: None
you: None
do: None
not: None
need: None
formal: None
approval: None
.: None

###","You must meet safety and energy efficiency standards even if you do not need formal approval .

###

"
" There: None
’: None
s: None
no: None
Inheritance: Finance
Tax: Finance
to: None
pay: None
if: None
you: None
do: None
this: None
.: None

###","There ’ s no Inheritance Tax to pay if you do this .

###

"
" Special: None
rules: None
In: None
some: None
cases: None
there: None
are: None
special: None
rules: None
for: None
making: None
student: Finance
loan: Finance
deductions: Finance
.: None

###","Special rules In some cases there are special rules for making student loan deductions .

###

"
" Read: None
the: None
guide: Contact
for: None
a: None
full: None
list: None
of: None
documents: None
you: None
can: None
provide: None
.: None

###","Read the guide for a full list of documents you can provide .

###

"
" You: None
must: None
register: None
for: None
VAT: None
with: None
HM: Organization
Revenue: Organization
and: Organization
Customs: Organization
(: None
HMRC: None
): None
if: None
it: None
goes: None
over: None
the: None
current: None
registration: None
threshold: None
in: None
a: None
rolling: None
12: None
-: None
month: None
period: None
.: None

###","You must register for VAT with HM Revenue and Customs ( HMRC ) if it goes over the current registration threshold in a rolling 12 - month period .

###

"
" Write: None
to: None
Computershare: Organization
Investor: Organization
Services: Organization
who: None
run: None
the: None
British: Misc
government: Misc
stock: Misc
scheme: Misc
.: Misc

###","Write to Computershare Investor Services who run the British government stock scheme .

###

"
" You: None
’: None
ll: None
pay: None
up: None
to: None
55: None
%: None
tax: Finance
on: None
payments: None
from: None
your: None
pension: Organization
provider: Organization
if: None
they: None
make: None
an: None
‘: None
unauthorised: Event
payment: Event
’: None
.: None

###","You ’ ll pay up to 55 % tax on payments from your pension provider if they make an ‘ unauthorised payment ’ .

###

"
" Read: None
the: None
work: None
experience: None
guidance: None
for: None
employers: Organization
to: None
find: None
out: None
what: None
’: None
s: None
expected: None
of: None
you: None
.: None

###","Read the work experience guidance for employers to find out what ’ s expected of you .

###

"
" You: None
transport: None
your: None
own: None
waste: None
You: None
must: None
meet: None
the: None
requirements: None
for: None
carriers: Organization
if: None
you: None
transport: None
any: None
hazardous: None
waste: None
from: None
your: None
own: None
or: None
another: None
business: None
.: None

###","You transport your own waste You must meet the requirements for carriers if you transport any hazardous waste from your own or another business .

###

"
" It: None
covers: None
both: None
Self: Finance
Assessment: Finance
and: None
National: Organization
Insurance: Organization
.: None

###","It covers both Self Assessment and National Insurance .

###

"
" This: None
is: Organization
called: None
a: None
‘: None
maintenance: Form
order: Form
’: None
.: None

###","This is called a ‘ maintenance order ’ .

###

"
" You: None
should: None
fit: None
VHF: None
DSC: None
(: None
Digital: Organization
Selective: Organization
Calling: Organization
): None
if: None
your: None
ship: None
needs: None
a: None
fixed: None
VHF: Form
channel: Form
to: None
receive: None
these: None
broadcasts: None
.: None

###","You should fit VHF DSC ( Digital Selective Calling ) if your ship needs a fixed VHF channel to receive these broadcasts .

###

"
" If: None
you: None
’: None
re: None
not: None
satisfied: None
with: None
how: None
the: None
Complaints: Organization
Resolution: Organization
Team: Organization
deals: None
with: None
your: None
complaint: None
you: None
can: None
ask: None
the: None
Complaints: Organization
Review: Organization
Team: Organization
to: None
look: None
at: None
it: None
.: None

###","If you ’ re not satisfied with how the Complaints Resolution Team deals with your complaint you can ask the Complaints Review Team to look at it .

###

"
" You: None
can: None
pay: None
an: None
Intellectual: Person
Property: Person
Professional: Person
to: None
help: None
you: None
.: None

###","You can pay an Intellectual Property Professional to help you .

###

"
" Your: None
insolvency: Person
practitioner: Person
works: None
out: None
what: None
you: None
can: None
afford: None
to: None
repay: None
and: None
how: None
long: None
the: None
IVA: Finance
lasts: None
.: None

###","Your insolvency practitioner works out what you can afford to repay and how long the IVA lasts .

###

"
" It: None
costs: None
£50: None
for: None
each: Person
form: Form
you: None
submit: None
.: None

###","It costs £50 for each form you submit .

###

"
" These: None
credits: None
count: None
towards: None
your: None
State: Finance
Pension: Finance
.: None

###","These credits count towards your State Pension .

###

"
" The: None
coroner: Person
will: None
also: None
send: None
a: None
‘: None
Certificate: None
of: None
Coroner: Person
-: None
form: None
Cremation: None
6: None
’: None
if: None
the: None
body: None
is: None
to: None
be: None
cremated: None
.: None

###","The coroner will also send a ‘ Certificate of Coroner - form Cremation 6 ’ if the body is to be cremated .

###

"
" You: None
must: None
apply: None
online: None
for: None
children: Person
born: None
while: None
you: None
’: None
re: None
in: None
the: None
UK: Location
.: None

###","You must apply online for children born while you ’ re in the UK .

###

"
" You: None
can: None
have: None
several: None
tax: Form
codes: Form
if: None
you: None
have: None
income: Finance
from: None
more: None
than: None
one: None
source: None
.: None

###","You can have several tax codes if you have income from more than one source .

###

"
" A: None
-: None
rating: None
-: None
full: None
sponsor: State
licence: State
An: None
A: None
-: None
rated: None
licence: None
lets: None
you: None
start: None
assigning: None
certificates: None
of: None
sponsorship: None
.: None

###","A - rating - full sponsor licence An A - rated licence lets you start assigning certificates of sponsorship .

###

"
" HMRC: Organization
has: None
guidance: None
on: None
how: None
to: None
make: None
a: None
negligible: None
value: Form
claim: Form
.: None

###","HMRC has guidance on how to make a negligible value claim .

###

"
" This: None
will: None
be: None
assessed: None
by: None
a: None
‘: None
medical: None
advisor: Person
’: None
on: None
a: None
scale: None
of: None
1: None
to: None
100: None
%: None
.: None

###","This will be assessed by a ‘ medical advisor ’ on a scale of 1 to 100 % .

###

"
" Assured: None
shorthold: None
tenancies: None
(: None
ASTs: None
): None
In: None
some: None
circumstances: State
your: None
landlord: Person
can: None
take: None
back: None
their: None
property: Location
without: None
giving: None
any: None
reason: None
.: None

###","Assured shorthold tenancies ( ASTs ) In some circumstances your landlord can take back their property without giving any reason .

###

"
" HMRC: Organization
can: None
take: None
them: None
to: None
court: Organization
on: None
behalf: None
of: None
the: None
worker: Person
if: None
the: None
employer: Person
still: None
refuses: None
to: None
pay: Finance
.: None

###","HMRC can take them to court on behalf of the worker if the employer still refuses to pay .

###

"
